userId,productId,Rating
AOPE42H34R0EC,B00000DM9W,5.0
A1GI09JC6L0NF7,B00004SABJ,4.0
AZLZII4AFX56R,B00000J579,3.0
A34AHNT6GD9FWW,9888002198,5.0
A2PXRAO5C1XTLW,0972683275,5.0
A1NWAV8K24H17Z,B00003CWDG,5.0
AL3RD9GILWPGJ,B00004T8R2,5.0
A2UTUBNRJT1THR,B00001P4XA,3.0
A2N6QZ8YA8N1XN,B00000DM9W,5.0
AM841O0YUQVYQ,B00001OWYM,5.0
A1J0GICFWG7G5A,B00003006E,5.0
ALUNVOQRXOZIA,B00000JI2C,1.0
A6QM463S99US1,9864216155,3.0
A3MY4XBGDXA0G0,B00001RMD8,4.0
A2PZKHQ3CDLU8Y,B00003006E,2.0
AHHVFJ1O3MQOT,9575871979,5.0
A2IMVZKTOYYG9D,B0000226L0,4.0
A2V83CNBP9Q2JS,B00004SWM7,5.0
A3UL89NZVTUD8T,B00004RIUJ,5.0
A1F8FFYPYZ9XJ,B00000J1V5,5.0
A1O2VT65NECE7C,B00000JBVO,5.0
A369AXZV1Q2LDC,B00001W0DI,1.0
A2OPFKDHSH8T31,B00000J1F3,3.0
A38JMMWC0IOIA9,B00001W0DI,5.0
A33LOGQTJCM66N,B00001P4XH,5.0
A2NA0LGPM0ZLHN,B00001WRSJ,5.0
A2SJ0XLL4PUVXL,B00001R3W1,3.0
A3JZ57RAI420O7,B00004SY5B,4.0
A7339FD5ZTLY8,8862935293,3.0
A2X1ND2DT6PSCN,B00004SB92,5.0
A1L5LHGAUIIEOU,0972683275,5.0
AE09MDB24FG1V,B00004THMA,5.0
A2R6RA8FRBS608,B00004T8R2,4.0
A2PUOM4RCL7SIS,B00003CW9Q,4.0
A2M90G76OPSI51,B00001P4XH,5.0
A17VZEEWV136RP,B00000K13L,5.0
AUMJC6WY81CEI,B00000JPPI,4.0
AV3BQXP8YYVFE,B00004TBLW,3.0
A3D6KFKN4J5ULE,B00000J3Q1,4.0
A33O79GQ8QW4TU,B00001P4ZR,3.0
A3CG50NHWGH5H9,0972683275,5.0
A3FSUVC8J3DNJJ,B00000JSGF,4.0
A25MY06KYU3J76,B00000J1V3,5.0
A2V8VL69NRGZH5,B00004T8R2,5.0
A1LZS2G44TOKQX,B00004SABJ,1.0
A2H0TMIRSIYQQJ,B00003CWDH,5.0
AAHXH8ERF1ZVQ,B00004T1XE,2.0
A2K18D9WZY2UCA,B00004S5H6,4.0
A2LAAG2AO9BYG9,B00000JI4F,4.0
A1YCZV1BNW8S9Z,B00001W0DH,5.0
A39OVWA8JB4TN1,B00000K4LF,1.0
AQ97Q08GENVE7,B00004RDL5,5.0
A1PEQFZWF4VODX,B00004RD8K,3.0
ANLHJUE44FYKV,B00004S9AK,5.0
A35CJKEWKRF09P,B00000J4FY,5.0
A6KSSXVR6P2IL,B00001YVFJ,4.0
ALIZ4W4R8YCND,B00004T1XK,5.0
A23D01UDNM334N,B00001P4ZR,5.0
AEOGHFU5IU9SB,B00000JDHV,5.0
A2X61KKXXR6WNP,B00003CWG2,5.0
AIHZ3Q0LU3GYK,B00000JYWQ,5.0
AZQQVI9RHJYH6,1400501466,3.0
AGCJVUG8IT125,B00000K5DS,4.0
A1EKSHKY9G1K18,B00002EQCW,5.0
AQELHO1P2XZ9R,B00001P4ZH,5.0
AF646AOKQW2EJ,B00001P4ZH,5.0
A2BNCDK7AH5RCO,B00004S9AK,5.0
A1ET9TYWN4S8DG,B00004S5H5,4.0
AEA5WFW8XFUW8,B00000JYWQ,5.0
A1UADKP60C7GXG,B00000JMO4,4.0
ALMSTM5B20N7I,B00004S7NT,3.0
APTTY8AYIJRXG,B00004THM6,4.0
A1QXBKNTVF2BNV,B00000J1V7,5.0
A2TGUBBF20BO7J,B00000JMUC,3.0
A1JJOV69MAU2J2,B00004TDN2,4.0
A1DR4FI83WSC1G,B00001P4ZR,5.0
A11D0106K8C8IX,B00000J4EY,5.0
A153QEMFRDWKWM,B00000JBUS,1.0
A1N55GXWVEGRVC,B00004T8R2,4.0
AEGTC7HLN2P00,B0000226IH,4.0
A3SIEEIU6AI6W0,B00004SZ9V,5.0
A2AEZQ3DGBBLPR,B00000JFMK,4.0
ADXAE3X1HES4M,B00003WGP5,4.0
A1NI8PDKGD73H2,B00004THCZ,4.0
A27RTIJI4J3L1H,B00000J4FS,5.0
A2VBWBSMG2BT7I,B00004NKTG,1.0
A6OGV7P2E1NLH,B00004TCTK,4.0
A2YT1SH4B1PPST,B000001OL6,5.0
A1Y57JQKN4ICD0,B00003CWDH,4.0
A17GXMTHZLL8OC,B00000K4KH,5.0
